x(mm),Q (W/m2)
1036.16,283311
1036.75,283286
1037.35,283260
1037.94,283235
1038.54,283210
1039.13,283185
1039.73,283160
1040.32,283135
1040.92,283110
1041.51,283085
1042.1,283060
1042.7,283036
1043.29,283011
1043.88,282986
1044.48,282962
1045.07,282937
1045.66,282912
1046.25,282888
1046.84,282863
1047.44,282839
1048.03,282814
1048.62,282790
1049.21,282765
1049.8,282741
1050.39,282716
1050.98,282692
1051.57,282667
1052.16,282643
1052.75,282618
1053.34,282594
1053.93,282569
1054.52,282545
1055.1,282521
1055.69,282497
1056.28,282472
1056.87,282448
1057.45,282424
1058.04,282400
1058.63,282376
1059.22,282352
1059.8,282328
1060.39,282304
1060.97,282280
1061.56,282256
1062.15,282232
1062.73,282208
1063.32,282184
1063.9,282161
1064.49,282137
1065.07,282113
1065.65,282089
1066.24,282065
1066.82,282041
1067.41,282018
1067.99,281994
1068.57,281970
1069.16,281946
1069.74,281923
1070.32,281899
1070.9,281875
1071.48,281852
1072.07,281828
1072.65,281805
1073.23,281781
1073.81,281758
1074.39,281734
1074.97,281711
1075.55,281688
1076.13,281664
1076.71,281641
1077.29,281618
1077.87,281595
1078.45,281571
1079.03,281548
1079.61,281525
1080.18,281502
1080.76,281479
1081.34,281455
1081.92,281432
1082.49,281409
1083.07,281386
1083.65,281363
1084.23,281340
1084.8,281317
1085.38,281294
1085.95,281271
1086.53,281248
1087.11,281225
1087.68,281202
1088.26,281179
1088.83,281156
1089.41,281134
1089.98,281111
1090.55,281088
1091.13,281066
1091.7,281043
1092.28,281020
1092.85,280998
1093.42,280975
1093.99,280953
1094.57,280930
1095.14,280908
1095.71,280885
1096.28,280863
1096.86,280840
1097.43,280818
1098,280795
1098.57,280773
1099.14,280750
1099.71,280728
1100.28,280705
1100.85,280683
1101.42,280660
1101.99,280638
1102.56,280615
1103.13,280593
1103.7,280571
1104.27,280548
1104.83,280526
1105.4,280504
1105.97,280482
1106.54,280460
1107.11,280438
1107.67,280416
1108.24,280394
1108.81,280372
1109.37,280350
1109.94,280329
1110.51,280307
1111.07,280285
1111.64,280263
1112.2,280241
1112.77,280220
1113.33,280198
1113.9,280176
1114.46,280154
1115.03,280133
1115.59,280111
1116.16,280089
1116.72,280067
1117.28,280045
1117.85,280024
1118.41,280002
1118.97,279980
1119.53,279958
1120.1,279936
1120.66,279915
1121.22,279893
1121.78,279871
1122.34,279850
1122.91,279828
1123.47,279807
1124.03,279785
1124.59,279764
1125.15,279742
1125.71,279721
1126.27,279700
1126.83,279679
1127.39,279658
1127.95,279637
1128.51,279616
1129.06,279595
1129.62,279574
1130.18,279553
1130.74,279532
1131.3,279511
1131.85,279490
1132.41,279469
1132.97,279448
1133.53,279427
1134.08,279406
1134.64,279385
1135.2,279364
1135.75,279342
1136.31,279321
1136.86,279300
1137.42,279279
1137.97,279258
1138.53,279237
1139.08,279216
1139.64,279195
1140.19,279174
1140.75,279153
1141.3,279132
1141.85,279111
1142.41,279090
1142.96,279069
1143.51,279048
1144.07,279028
1144.62,279007
1145.17,278987
1145.72,278966
1146.27,278946
1146.83,278925
1147.38,278905
1147.93,278885
1148.48,278864
1149.03,278844
1149.58,278824
1150.13,278804
1150.68,278784
1151.23,278763
1151.78,278743
1152.33,278723
1152.88,278702
1153.43,278682
1153.98,278662
1154.52,278642
1155.07,278621
1155.62,278601
1156.17,278580
1156.72,278560
1157.26,278540
1157.81,278519
1158.36,278499
1158.91,278479
1159.45,278458
1160,278438
1160.54,278418
1161.09,278398
1161.64,278377
1162.18,278357
1162.73,278337
1163.27,278317
1163.82,278297
1164.36,278277
1164.91,278257
1165.45,278237
1165.99,278218
1166.54,278198
1167.08,278178
1167.62,278158
1168.17,278139
1168.71,278119
1169.25,278100
1169.79,278080
1170.34,278060
1170.88,278041
1171.42,278021
1171.96,278002
1172.5,277982
1173.04,277963
1173.58,277943
1174.13,277924
1174.67,277904
1175.21,277885
1175.75,277865
1176.29,277845
1176.83,277826
1177.36,277806
1177.9,277787
1178.44,277767
1178.98,277748
1179.52,277728
1180.06,277709
1180.6,277689
1181.13,277670
1181.67,277650
1182.21,277631
1182.75,277611
1183.28,277592
1183.82,277573
1184.36,277553
1184.89,277534
1185.43,277515
1185.97,277496
1186.5,277476
1187.04,277457
1187.57,277438
1188.11,277419
1188.64,277400
1189.18,277381
1189.71,277362
1190.24,277343
1190.78,277324
1191.31,277305
1191.85,277286
1192.38,277267
1192.91,277248
1193.45,277229
1193.98,277211
1194.51,277192
1195.04,277173
1195.57,277154
1196.11,277136
1196.64,277117
1197.17,277098
1197.7,277079
1198.23,277061
1198.76,277042
1199.29,277023
1199.82,277005
1200.35,276986
1200.88,276967
1201.41,276949
1201.94,276930
1202.47,276912
1203,276893
1203.53,276874
1204.06,276856
1204.59,276837
1205.11,276818
1205.64,276799
1206.17,276781
1206.7,276762
1207.23,276743
1207.75,276725
1208.28,276706
1208.81,276687
1209.33,276669
1209.86,276650
1210.39,276632
1210.91,276613
1211.44,276595
1211.96,276576
1212.49,276558
1213.01,276539
1213.54,276521
1214.06,276503
1214.59,276485
1215.11,276467
1215.63,276449
1216.16,276431
1216.68,276413
1217.21,276395
1217.73,276377
1218.25,276359
1218.77,276341
1219.3,276324
1219.82,276306
1220.34,276288
1220.86,276270
1221.38,276253
1221.91,276235
1222.43,276217
1222.95,276199
1223.47,276181
1223.99,276164
1224.51,276146
1225.03,276128
1225.55,276110
1226.07,276092
1226.59,276074
1227.11,276056
1227.63,276038
1228.15,276019
1228.67,276001
1229.18,275983
1229.7,275965
1230.22,275947
1230.74,275929
1231.26,275911
1231.77,275892
1232.29,275874
1232.81,275856
1233.33,275838
1233.84,275821
1234.36,275803
1234.88,275785
1235.39,275767
1235.91,275750
1236.42,275732
1236.94,275715
1237.45,275697
1237.97,275680
1238.48,275663
1239,275645
1239.51,275628
1240.03,275611
1240.54,275594
1241.05,275577
1241.57,275560
1242.08,275543
1242.59,275526
1243.11,275510
1243.62,275493
1244.13,275476
1244.64,275459
1245.16,275442
1245.67,275425
1246.18,275408
1246.69,275391
1247.2,275373
1247.71,275356
1248.23,275338
1248.74,275321
1249.25,275304
1249.76,275286
1250.27,275269
1250.78,275251
1251.29,275234
1251.8,275216
1252.31,275199
1252.81,275181
1253.32,275164
1253.83,275146
1254.34,275129
1254.85,275111
1255.36,275094
1255.86,275076
1256.37,275059
1256.88,275042
1257.39,275024
1257.89,275007
1258.4,274990
1258.91,274973
1259.41,274956
1259.92,274939
1260.43,274923
1260.93,274906
1261.44,274889
1261.94,274873
1262.45,274857
1262.95,274840
1263.46,274824
1263.96,274808
1264.47,274791
1264.97,274775
1265.47,274759
1265.98,274743
1266.48,274727
1266.99,274710
1267.49,274694
1267.99,274678
1268.49,274662
1269,274645
1269.5,274630
1270,274613
1270.5,274596
1271.01,274580
1271.51,274563
1272.01,274547
1272.51,274530
1273.01,274513
1273.51,274497
1274.01,274480
1274.51,274463
