x(mm),P (Pa)
1050.39,15359.6
1050.98,15359.6
1051.57,15359.5
1052.16,15359.5
1052.75,15359.5
1053.34,15359.5
1053.93,15359.5
1054.52,15359.5
1055.1,15359.4
1055.69,15359.4
1056.28,15359.4
1056.87,15359.4
1057.45,15359.4
1058.04,15359.4
1058.63,15359.3
1059.22,15359.3
1059.8,15359.3
1060.39,15359.3
1060.97,15359.3
1061.56,15359.3
1062.15,15359.3
1062.73,15359.3
1063.32,15359.3
1063.9,15359.2
1064.49,15359.2
1065.07,15359.2
1065.65,15359.2
1066.24,15359.2
1066.82,15359.2
1067.41,15359.1
1067.99,15359.1
1068.57,15359.1
1069.16,15359.1
1069.74,15359.1
1070.32,15359.1
1070.9,15359
1071.48,15359
1072.07,15359
1072.65,15359
1073.23,15359
1073.81,15359
1074.39,15359
1074.97,15359
1075.55,15358.9
1076.13,15358.9
1076.71,15358.9
1077.29,15358.9
1077.87,15358.9
1078.45,15358.9
1079.03,15358.9
1079.61,15358.9
1080.18,15358.8
1080.76,15358.8
1081.34,15358.8
1081.92,15358.8
1082.49,15358.8
1083.07,15358.8
1083.65,15358.7
1084.23,15358.7
1084.8,15358.7
1085.38,15358.7
1085.95,15358.7
1086.53,15358.7
1087.11,15358.6
1087.68,15358.6
1088.26,15358.6
1088.83,15358.6
1089.41,15358.6
1089.98,15358.6
1090.55,15358.6
1091.13,15358.6
1091.7,15358.6
1092.28,15358.5
1092.85,15358.5
1093.42,15358.5
1093.99,15358.5
1094.57,15358.5
1095.14,15358.5
1095.71,15358.5
1096.28,15358.5
1096.86,15358.5
1097.43,15358.4
1098,15358.4
1098.57,15358.4
1099.14,15358.4
1099.71,15358.4
1100.28,15358.4
1100.85,15358.3
1101.42,15358.3
1101.99,15358.3
1102.56,15358.3
1103.13,15358.3
1103.7,15358.2
1104.27,15358.2
1104.83,15358.2
1105.4,15358.2
1105.97,15358.2
1106.54,15358.2
1107.11,15358.2
1107.67,15358.2
1108.24,15358.2
1108.81,15358.1
1109.37,15358.1
1109.94,15358.1
1110.51,15358.1
1111.07,15358.1
1111.64,15358.1
1112.2,15358.1
1112.77,15358.1
1113.33,15358.1
1113.9,15358.1
1114.46,15358.1
1115.03,15358.1
1115.59,15358
1116.16,15358
1116.72,15358
1117.28,15358
1117.85,15358
1118.41,15357.9
1118.97,15357.9
1119.53,15357.9
1120.1,15357.9
1120.66,15357.8
1121.22,15357.8
1121.78,15357.8
1122.34,15357.8
1122.91,15357.8
1123.47,15357.7
1124.03,15357.7
1124.59,15357.7
1125.15,15357.7
1125.71,15357.7
1126.27,15357.7
1126.83,15357.7
1127.39,15357.7
1127.95,15357.7
1128.51,15357.7
1129.06,15357.7
1129.62,15357.7
1130.18,15357.7
1130.74,15357.7
1131.3,15357.7
1131.85,15357.7
1132.41,15357.7
1132.97,15357.7
1133.53,15357.6
1134.08,15357.6
1134.64,15357.6
1135.2,15357.6
1135.75,15357.6
1136.31,15357.6
1136.86,15357.5
1137.42,15357.5
1137.97,15357.5
1138.53,15357.5
1139.08,15357.4
1139.64,15357.4
1140.19,15357.4
1140.75,15357.4
1141.3,15357.3
1141.85,15357.3
1142.41,15357.3
1142.96,15357.3
1143.51,15357.3
1144.07,15357.3
1144.62,15357.3
1145.17,15357.3
1145.72,15357.3
1146.27,15357.3
1146.83,15357.3
1147.38,15357.2
1147.93,15357.2
1148.48,15357.2
1149.03,15357.2
1149.58,15357.2
1150.13,15357.2
1150.68,15357.2
1151.23,15357.2
1151.78,15357.2
1152.33,15357.2
1152.88,15357.2
1153.43,15357.2
1153.98,15357.2
1154.52,15357.2
1155.07,15357.2
1155.62,15357.1
1156.17,15357.1
1156.72,15357.1
1157.26,15357.1
1157.81,15357
1158.36,15357
1158.91,15357
1159.45,15357
1160,15357
1160.54,15356.9
1161.09,15356.9
1161.64,15356.9
1162.18,15356.9
1162.73,15356.9
1163.27,15356.9
1163.82,15356.8
1164.36,15356.8
1164.91,15356.8
1165.45,15356.8
1165.99,15356.8
1166.54,15356.8
