x(mm),P (Pa)
1124.41,15361
1125.25,15360.9
1126.09,15360.8
1126.93,15360.8
1127.77,15360.7
1128.61,15360.6
1129.45,15360.5
1130.29,15360.4
1131.12,15360.3
1131.96,15360.2
1132.8,15360.1
1133.63,15360
1134.47,15359.9
1135.3,15359.8
1136.14,15359.8
1136.97,15359.7
1137.8,15359.7
1138.64,15359.7
1139.47,15359.7
1140.3,15359.7
1141.13,15359.8
1141.96,15359.8
1142.79,15359.9
1143.62,15360
1144.45,15360
1145.28,15360.1
1146.11,15360.2
1146.93,15360.3
1147.76,15360.3
1148.59,15360.4
1149.41,15360.4
1150.24,15360.5
1151.06,15360.5
1151.89,15360.5
1152.71,15360.5
1153.54,15360.5
1154.36,15360.4
1155.18,15360.4
1156,15360.3
1156.82,15360.2
1157.65,15360.1
1158.47,15360
1159.29,15359.9
1160.11,15359.8
1160.92,15359.7
1161.74,15359.6
1162.56,15359.5
1163.38,15359.4
1164.2,15359.3
1165.01,15359.2
1165.83,15359.1
1166.64,15359.1
1167.46,15359
1168.27,15359
1169.09,15359
1169.9,15359
1170.72,15359
1171.53,15359
1172.34,15359
1173.15,15359.1
1173.96,15359.1
1174.77,15359.2
1175.58,15359.3
1176.39,15359.3
1177.2,15359.4
1178.01,15359.5
1178.82,15359.6
1179.63,15359.6
1180.44,15359.7
1181.24,15359.7
1182.05,15359.8
1182.86,15359.8
1183.66,15359.8
1184.47,15359.9
1185.27,15359.8
1186.07,15359.8
1186.88,15359.8
1187.68,15359.7
1188.48,15359.7
1189.28,15359.6
1190.09,15359.5
1190.89,15359.4
1191.69,15359.3
1192.49,15359.2
1193.29,15359.1
1194.09,15359
1194.89,15358.9
1195.68,15358.8
1196.48,15358.7
1197.28,15358.6
1198.08,15358.5
1198.87,15358.4
1199.67,15358.4
1200.46,15358.3
1201.26,15358.3
1202.05,15358.2
1202.85,15358.2
1203.64,15358.2
1204.43,15358.2
1205.22,15358.2
1206.02,15358.2
1206.81,15358.3
1207.6,15358.3
1208.39,15358.4
1209.18,15358.4
1209.97,15358.5
1210.76,15358.6
1211.55,15358.7
1212.33,15358.8
1213.12,15358.8
1213.91,15358.9
1214.7,15359
1215.48,15359.1
1216.27,15359.1
1217.05,15359.2
1217.84,15359.2
1218.62,15359.2
1219.41,15359.2
1220.19,15359.2
1220.97,15359.2
1221.76,15359.2
1222.54,15359.2
1223.32,15359.1
1224.1,15359
1224.88,15359
1225.66,15358.9
1226.44,15358.8
1227.22,15358.7
1228,15358.6
1228.78,15358.5
1229.55,15358.3
1230.33,15358.2
1231.11,15358.1
1231.88,15358
1232.66,15357.8
1233.44,15357.7
1234.21,15357.6
1234.99,15357.5
1235.76,15357.4
1236.53,15357.4
1237.31,15357.3
1238.08,15357.3
1238.85,15357.2
1239.62,15357.2
1240.39,15357.2
1241.16,15357.2
1241.94,15357.3
1242.71,15357.3
1243.47,15357.4
1244.24,15357.5
1245.01,15357.5
1245.78,15357.6
1246.55,15357.8
1247.31,15357.9
1248.08,15358
1248.85,15358.1
1249.61,15358.2
1250.38,15358.3
1251.14,15358.4
1251.91,15358.5
1252.67,15358.6
1253.43,15358.7
1254.2,15358.8
1254.96,15358.8
1255.72,15358.9
1256.48,15358.9
1257.24,15358.9
1258.01,15358.9
1258.77,15358.8
1259.53,15358.8
1260.28,15358.7
1261.04,15358.6
1261.8,15358.5
1262.56,15358.4
1263.32,15358.2
1264.07,15358.1
1264.83,15357.9
1265.59,15357.8
1266.34,15357.6
1267.1,15357.4
1267.85,15357.2
1268.61,15357.1
1269.36,15356.9
1270.11,15356.7
1270.87,15356.6
1271.62,15356.5
1272.37,15356.3
1273.12,15356.2
1273.87,15356.2
1274.62,15356.1
1275.37,15356.1
1276.12,15356
1276.87,15356
1277.62,15356.1
1278.37,15356.1
1279.12,15356.2
1279.87,15356.3
1280.61,15356.4
1281.36,15356.5
1282.11,15356.6
1282.85,15356.8
1283.6,15356.9
1284.34,15357.1
1285.09,15357.3
1285.83,15357.4
1286.57,15357.6
1287.32,15357.8
1288.06,15357.9
1288.8,15358.1
1289.54,15358.2
1290.28,15358.4
1291.02,15358.5
1291.76,15358.6
1292.5,15358.6
1293.24,15358.7
1293.98,15358.7
1294.72,15358.7
1295.46,15358.7
1296.2,15358.6
1296.93,15358.5
1297.67,15358.4
1298.41,15358.3
1299.14,15358.2
1299.88,15358
1300.61,15357.8
1301.35,15357.6
1302.08,15357.4
1302.82,15357.2
1303.55,15357
1304.28,15356.7
1305.01,15356.5
1305.75,15356.3
1306.48,15356.1
1307.21,15355.9
1307.94,15355.7
1308.67,15355.5
1309.4,15355.3
1310.13,15355.2
1310.86,15355
1311.58,15354.9
1312.31,15354.9
1313.04,15354.8
1313.77,15354.8
1314.49,15354.8
1315.22,15354.8
1315.95,15354.8
1316.67,15354.9
1317.4,15355
1318.12,15355.2
1318.84,15355.3
1319.57,15355.5
1320.29,15355.7
1321.01,15355.9
1321.74,15356.1
1322.46,15356.3
1323.18,15356.6
1323.9,15356.8
1324.62,15357
1325.34,15357.2
1326.06,15357.4
1326.78,15357.6
1327.5,15357.8
1328.22,15358
1328.93,15358.2
1329.65,15358.3
1330.37,15358.4
1331.09,15358.5
1331.8,15358.5
1332.52,15358.6
1333.23,15358.6
1333.95,15358.5
1334.66,15358.5
1335.38,15358.4
1336.09,15358.3
1336.8,15358.1
1337.52,15358
1338.23,15357.8
1338.94,15357.6
1339.65,15357.4
1340.36,15357.1
1341.07,15356.9
1341.78,15356.6
1342.49,15356.3
1343.2,15356.1
1343.91,15355.8
1344.62,15355.5
1345.33,15355.3
1346.04,15355
1346.74,15354.8
1347.45,15354.5
1348.16,15354.3
1348.86,15354.1
1349.57,15354
1350.27,15353.8
1350.98,15353.7
1351.68,15353.6
1352.39,15353.5
1353.09,15353.5
1353.79,15353.5
1354.49,15353.5
1355.2,15353.6
1355.9,15353.7
1356.6,15353.8
1357.3,15353.9
1358,15354.1
1358.7,15354.3
1359.4,15354.5
1360.1,15354.7
1360.8,15354.9
1361.5,15355.2
1362.19,15355.4
1362.89,15355.7
1363.59,15356
1364.29,15356.2
1364.98,15356.5
1365.68,15356.8
1366.37,15357
1367.07,15357.2
1367.76,15357.5
1368.46,15357.7
1369.15,15357.9
1369.84,15358
1370.54,15358.2
1371.23,15358.3
1371.92,15358.4
1372.61,15358.4
1373.3,15358.4
1373.99,15358.4
1374.68,15358.4
1375.37,15358.3
1376.06,15358.3
1376.75,15358.1
1377.44,15358
1378.13,15357.8
1378.82,15357.6
1379.51,15357.4
1380.19,15357.1
1380.88,15356.9
1381.57,15356.6
1382.25,15356.3
1382.94,15356
1383.62,15355.7
1384.31,15355.4
1384.99,15355.1
1385.67,15354.8
1386.36,15354.5
1387.04,15354.2
1387.72,15353.9
1388.41,15353.6
1389.09,15353.4
1389.77,15353.2
1390.45,15352.9
1391.13,15352.8
1391.81,15352.6
1392.49,15352.5
1393.17,15352.3
1393.85,15352.3
1394.53,15352.2
1395.2,15352.2
1395.88,15352.2
1396.56,15352.2
1397.24,15352.3
1397.91,15352.4
1398.59,15352.5
1399.26,15352.7
1399.94,15352.9
1400.61,15353.1
1401.29,15353.3
1401.96,15353.5
1402.63,15353.8
1403.31,15354.1
1403.98,15354.4
1404.65,15354.7
1405.32,15355
1406,15355.3
1406.67,15355.6
1407.34,15355.9
1408.01,15356.2
1408.68,15356.5
1409.35,15356.8
1410.02,15357.1
1410.69,15357.3
1411.35,15357.6
1412.02,15357.8
1412.69,15358
1413.36,15358.1
1414.02,15358.3
1414.69,15358.4
