Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Absolute Pressure (Pa)
0.99175912,7047.560222
0.995632874,7044.382772
0.995927245,7043.75519
0.99801248,7037.946863
0.998905817,7034.977784
1.003074724,7024.214061
1.000394712,7030.07026
1.001884171,7026.102128
1.002179911,7025.509955
0.990568004,7046.785302
0.992056899,7047.637769
0.992950236,7047.577469
0.993248015,7047.449204
0.995335877,7044.96086
0.996225806,7043.065063
0.997714701,7038.896472
0.999203596,7033.97139
1.000096933,7031.010338
0.990270225,7046.48856
0.992354678,7047.66591
0.992652457,7047.64821
0.993545794,7047.262537
0.99503469,7045.493633
0.996523585,7042.325144
0.997416922,7039.815121
0.999501375,7032.96934
0.999799154,7031.97948
0.987590214,7042.5726
0.987292435,7042.060907
0.989972446,7046.155217
0.993843573,7047.019945
0.996821364,7041.534524
0.994736911,7045.960886
0.997119143,7040.696362
0.98550576,7039.024064
0.987887993,7043.080451
0.986994656,7041.543634
0.989672541,7045.786731
0.994141353,7046.722881
0.994439132,7046.370187
0.985207981,7038.548023
0.985803539,7039.512323
0.988185772,7043.57587
0.986696877,7041.029151
0.98937709,7045.393591
0.984910202,7038.083219
0.988483551,7044.059785
0.986101318,7040.010697
0.986399098,7040.516303
0.989081438,7044.97467
0.984612423,7037.632754
0.98878133,7044.525082
0.984314644,7037.193703
0.984016865,7036.7699
0.983719086,7036.358089
0.983419472,7035.956467
0.983122944,7035.568967
0.982827,7035.192322
0.98252797,7034.818999
0.982230191,7034.453748
0.981932412,7034.093152
0.981634633,7033.736076
0.981336854,7033.381124
0.981039075,7033.027046
0.980741296,7032.673682
0.980443517,7032.320038
0.980145738,7031.966852
0.979847959,7031.613057
0.97955018,7031.261356
0.979252401,7030.907989
0.978954622,7030.558861
0.978656842,7030.209726
0.978359063,7029.867165
0.978061284,7029.529101
0.977763505,7029.197379
0.977465726,7028.881856
0.977165088,7028.568977
0.976867482,7028.283669
0.976572563,7028.009978
0.97627461,7027.76476
0.975976831,7027.532538
0.975679052,7027.337539
0.975381273,7027.15792
0.975083494,7027.021767
0.974785715,7026.904467
0.974487936,7026.834957
0.974190157,7026.786213
0.973892378,7026.784699
0.973594599,7026.810156
0.97329682,7026.879069
0.972999041,7026.980803
0.972701262,7027.125777
0.972403483,7027.306337
0.972105704,7027.530344
0.971807925,7027.790661
0.971510146,7028.094429
0.971212367,7028.43453
0.970912536,7028.817542
0.970615302,7029.234984
0.970319575,7029.685057
0.97002125,7030.174171
0.969723471,7030.694822
0.969425692,7031.24795
0.969127913,7031.831853
0.968830134,7032.445966
0.968532355,7033.089515
0.968234576,7033.761326
0.967936797,7034.460687
0.967639018,7035.186818
0.967341239,7035.938001
0.96704346,7036.713032
0.966745681,7037.510337
0.966447902,7038.327865
0.966150123,7039.163818
0.965852344,7040.016085
0.965554565,7040.882916
0.965256786,7041.761713
0.964959007,7042.650859
0.964661228,7043.54744
0.964362649,7044.452119
0.964068263,7045.346034
0.963771284,7046.246338
0.963470111,7047.159703
0.963172332,7048.055691
0.962874553,7048.945288
0.962576774,7049.82465
0.962278995,7050.691973
0.961981216,7051.544887
0.961683437,7052.381357
0.961385658,7053.198549
0.961087879,7053.994837
0.9607901,7054.767396
0.960492321,7055.513462
0.960194542,7056.230792
0.959896763,7056.918029
0.959598984,7057.573229
0.959301205,7058.195118
0.959003426,7058.782385
0.958705647,7059.334487
0.958407868,7059.85124
0.958107944,7060.335211
0.957812479,7060.776126
0.957516846,7061.182689
0.957216752,7061.56504
0.956918973,7061.911276
0.956621194,7062.227843
0.956323415,7062.515663
0.956025636,7062.776418
0.955727856,7063.012343
0.955430077,7063.225745
0.955132298,7063.418726
0.954834519,7063.592531
0.95453674,7063.747671
0.954238961,7063.885553
0.953941182,7064.008388
0.953643403,7064.118613
0.953345624,7064.216235
0.953047845,7064.29968
0.952750066,7064.366071
0.952452287,7064.412657
0.952154508,7064.439509
0.95185488,7064.443952
0.951558337,7064.425715
0.951262408,7064.377753
0.950963392,7064.29682
0.950665613,7064.180854
0.950367834,7064.028906
0.950070055,7063.84198
0.949772276,7063.618367
0.949474497,7063.365115
0.949176718,7063.078583
0.948878939,7062.775668
0.94858116,7062.449292
0.948283381,7062.123019
0.947985601,7061.788807
0.947687822,7061.471939
0.947390043,7061.164099
0.947092264,7060.887526
0.946794485,7060.646089
0.946496706,7060.432486
0.946198927,7060.271824
0.945901148,7060.141797
0.945600496,7060.068
0.945302876,7060.028747
0.94500797,7060.046784
0.944710032,7060.109935
0.944412253,7060.222892
0.944114474,7060.3908
0.943816695,7060.608826
0.943518916,7060.884478
0.943221137,7061.213758
0.942923358,7061.598444
0.942625579,7062.034954
0.9423278,7062.522957
0.942030021,7063.058977
0.941732242,7063.640903
0.941434463,7064.264779
0.941136684,7064.926655
0.940838905,7065.621249
0.940541126,7066.342691
0.940243346,7067.084067
0.939945567,7067.838135
0.939647788,7068.596441
0.939347946,7069.35641
0.939050693,7070.098482
0.938754978,7070.816905
0.938456672,7071.51767
0.938158893,7072.184386
0.937861114,7072.812987
0.937563335,7073.397251
0.937265556,7073.929117
0.936967777,7074.399171
0.936669998,7074.798289
0.936372219,7075.127826
1.263035825,7037.122349
1.263333604,7037.492258
1.262738046,7036.759926
1.263631383,7037.856644
1.265120278,7039.533347
1.265418058,7039.802297
1.274946987,7039.340036
1.275244766,7039.384332
1.262440267,7036.399984
1.263929162,7038.220551
1.264822499,7039.233441
1.265715837,7040.042989
1.279115893,7039.118814
1.279415674,7039.082249
1.274649208,7039.291891
1.275542545,7039.422247
1.261246416,7035.051725
1.26154693,7035.376669
1.261844709,7035.707503
1.262142488,7036.051268
1.264226941,7038.572009
1.26452472,7038.914016
1.266013616,7040.248011
1.268395848,7040.582956
1.268693627,7040.484663
1.278818114,7039.166478
1.279712835,7039.060929
1.274351429,7039.242573
1.275840324,7039.45059
1.266311395,7040.418904
1.268098069,7040.657485
1.268991406,7040.365789
1.278520335,7039.221064
1.280008613,7039.060157
1.27405365,7039.196568
1.276138103,7039.468589
1.271373638,7039.317354
1.271075859,7039.416516
1.266609174,7040.550834
1.26780029,7040.703382
1.269289185,7040.232306
1.278222556,7039.277507
1.28030701,7039.083389
1.282391463,7040.069766
1.282689242,7040.326221
1.273753908,7039.155724
1.276435882,7039.47394
1.271671417,7039.236258
1.27077808,7039.531191
1.266908335,7040.644267
1.269586964,7040.089296
1.2675008,7040.716035
1.277924777,7039.331948
1.280604789,7039.134458
1.282093684,7039.839235
1.282987021,7040.613397
1.273458589,7039.122904
1.276733661,7039.469815
1.277626998,7039.380848
1.271969196,7039.173223
1.270480301,7039.659366
1.270182522,7039.797934
1.267204403,7040.698472
1.269884743,7039.942626
1.280902568,7039.21471
1.281795905,7039.640481
1.2832848,7040.926613
1.273162773,7039.099868
1.27703144,7039.452062
1.277329219,7039.421604
1.272564754,7039.101358
1.272266975,7039.128016
1.281200347,7039.327326
1.281498126,7039.467301
1.283582579,7041.271312
1.284773695,7042.934384
1.285071474,7043.419737
1.286558442,7046.15715
1.28626139,7045.572263
1.288049265,7049.213535
1.287751486,7048.594068
1.272862534,7039.092671
1.283880358,7041.644021
1.284475916,7042.478106
1.285369253,7043.926199
1.285965538,7045.009789
1.286858148,7046.754025
1.288347044,7049.836648
1.287453706,7047.973633
1.290133718,7053.483602
1.284178137,7042.045278
1.285667032,7044.457592
1.287155927,7047.362182
1.288644823,7050.456353
1.289835939,7052.893394
1.290431497,7054.055424
1.288942602,7051.075392
1.28953816,7052.295731
1.290729276,7054.609526
1.289240381,7051.687359
1.291027055,7055.130486
1.291324834,7055.614773
1.291622613,7056.050734
1.291920392,7056.43259
1.292218491,7056.754345
1.292513548,7057.009491
