Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Distance (m)
1.446754477,6.32E-07
1.444372346,6.32E-07
1.445960434,6.32E-07
1.446952988,6.32E-07
1.444570857,6.32E-07
1.445761923,6.32E-07
1.447151499,6.32E-07
1.455885979,6.32E-07
1.455687468,6.32E-07
1.458863642,6.32E-07
1.459062153,6.32E-07
1.444769368,6.32E-07
1.445563412,6.32E-07
1.44735001,6.32E-07
1.450523876,6.32E-07
1.450722387,6.32E-07
1.452114272,6.32E-07
1.452312782,6.32E-07
1.45608449,6.32E-07
1.455488957,6.32E-07
1.458665131,6.32E-07
1.459260664,6.32E-07
1.444967879,6.32E-07
1.445364901,6.32E-07
1.447548521,6.32E-07
1.450327673,6.32E-07
1.450923206,6.32E-07
1.451915761,6.32E-07
1.452511711,6.32E-07
1.455290446,6.32E-07
1.456283001,6.32E-07
1.45846662,6.32E-07
1.459459175,6.32E-07
1.448739586,6.32E-07
1.448938097,6.32E-07
1.44516639,6.32E-07
1.447747032,6.32E-07
1.450129163,6.32E-07
1.451121717,6.32E-07
1.454099381,6.32E-07
1.45390087,6.32E-07
1.451716305,6.32E-07
1.452710222,6.32E-07
1.456481511,6.32E-07
1.455091935,6.32E-07
1.45826811,6.32E-07
1.459657686,6.32E-07
1.463429393,6.32E-07
1.463627904,6.32E-07
1.448541075,6.32E-07
1.449136608,6.32E-07
1.447945543,6.32E-07
1.449930652,6.32E-07
1.451320228,6.32E-07
1.454297892,6.32E-07
1.45370414,6.32E-07
1.451517794,6.32E-07
1.452908315,6.32E-07
1.454893424,6.32E-07
1.456680022,6.32E-07
1.458069599,6.32E-07
1.459856197,6.32E-07
1.461444284,6.32E-07
1.461243695,6.32E-07
1.46323153,6.32E-07
1.463826415,6.32E-07
1.448342564,6.32E-07
1.449335119,6.32E-07
1.448144054,6.32E-07
1.449732141,6.32E-07
1.454498292,6.32E-07
