Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Position[Y] (m)
1.818441329,0.22327652
1.81819319,0.223246052
1.817945051,0.223215585
1.817696913,0.223185117
1.817448774,0.22315465
1.817200636,0.223124182
1.816952497,0.223093715
1.816704358,0.223063247
1.81645622,0.223032779
1.816208081,0.223002312
1.815959942,0.222971844
1.815711804,0.222941377
1.815463665,0.222910909
1.815215527,0.222880441
1.814967388,0.222849974
1.814719249,0.222819506
1.814471111,0.222789039
1.814222972,0.222758571
1.813974833,0.222728103
1.813728731,0.222697886
1.813480592,0.222667418
1.813230418,0.222636701
1.812982279,0.222606233
1.81273414,0.222575765
1.812486002,0.222545298
1.812237863,0.22251483
1.811989724,0.222484363
1.811744494,0.222454252
1.811496355,0.222423785
1.811245309,0.22239296
1.81099717,0.222362492
1.810749031,0.222332025
1.810500893,0.222301557
1.810252754,0.22227109
1.810004615,0.222240622
1.809756658,0.222210177
1.80950852,0.222179709
1.809260199,0.222149219
1.809012061,0.222118752
1.808763922,0.222088284
1.808515784,0.222057816
1.808267645,0.222027349
1.808019506,0.221996881
1.807768823,0.221966101
1.807520685,0.221935634
1.80727509,0.221905478
1.807026952,0.221875011
1.806778813,0.221844543
1.806530675,0.221814076
1.806282536,0.221783608
1.806034397,0.22175314
1.805783089,0.221722284
1.800327209,0.221052386
1.800575348,0.221082853
1.80553495,0.221691816
1.800081874,0.221022263
1.800823486,0.221113321
1.805289981,0.221661738
1.799833736,0.220991795
1.801071625,0.221143789
1.802808595,0.221357062
1.803056734,0.221387529
1.805041843,0.22163127
1.799582793,0.220960983
1.801319763,0.221174256
1.802560457,0.221326594
1.803304872,0.221417997
1.804793704,0.221600802
1.799334654,0.220930515
1.801567902,0.221204724
1.802312318,0.221296127
1.803553011,0.221448465
1.804545566,0.221570335
1.799086516,0.220900048
1.801816041,0.221235191
1.802064179,0.221265659
1.80380115,0.221478932
1.804297427,0.221539867
1.787672139,0.219498539
1.787424,0.219468071
1.795612575,0.220473502
1.795364436,0.220443034
1.797349545,0.220686775
1.797597684,0.220717242
1.798838377,0.22086958
1.804049288,0.2215094
1.781468673,0.218736849
1.781716812,0.218767316
1.787175862,0.219437603
1.787920278,0.219529006
1.78568703,0.219254798
