x (mm),P (Pa)
873.553,2067.56
874.216,2067.55
874.878,2067.54
875.541,2067.53
876.204,2067.52
876.866,2067.52
877.529,2067.51
878.191,2067.5
878.854,2067.49
879.516,2067.48
880.179,2067.47
880.842,2067.46
881.504,2067.45
882.167,2067.44
882.829,2067.43
883.492,2067.42
884.155,2067.41
884.817,2067.4
885.48,2067.39
886.142,2067.38
886.805,2067.37
887.468,2067.36
888.13,2067.35
888.793,2067.34
889.455,2067.33
890.118,2067.32
890.78,2067.31
891.443,2067.3
892.106,2067.29
892.768,2067.28
893.431,2067.27
894.093,2067.26
894.756,2067.25
895.419,2067.25
896.081,2067.24
896.744,2067.23
897.406,2067.22
898.069,2067.21
898.732,2067.2
899.394,2067.19
900.057,2067.18
900.719,2067.18
901.382,2067.17
902.044,2067.16
902.707,2067.15
903.37,2067.14
904.032,2067.13
904.695,2067.12
905.357,2067.11
906.02,2067.1
906.683,2067.09
907.345,2067.08
908.008,2067.08
908.67,2067.07
909.333,2067.06
909.995,2067.05
910.658,2067.04
911.321,2067.03
911.983,2067.02
912.646,2067.01
913.308,2067
913.971,2066.99
914.634,2066.98
915.296,2066.97
915.959,2066.96
916.621,2066.95
917.284,2066.94
917.947,2066.93
918.609,2066.93
919.272,2066.92
919.934,2066.91
920.597,2066.9
921.259,2066.89
921.922,2066.88
922.585,2066.87
923.247,2066.86
923.91,2066.85
924.572,2066.85
925.235,2066.84
925.898,2066.83
926.56,2066.82
927.223,2066.81
927.885,2066.8
928.548,2066.79
929.21,2066.78
929.873,2066.77
930.536,2066.77
931.198,2066.76
931.861,2066.75
932.523,2066.74
933.186,2066.73
933.849,2066.72
934.511,2066.72
935.174,2066.71
935.836,2066.7
936.499,2066.69
937.162,2066.68
937.824,2066.67
