x (mm),Q (W/m2)
792.055,93753.4
792.718,93741.1
793.38,93728.7
794.043,93716.4
794.705,93704.1
795.368,93691.7
796.031,93679.4
796.693,93667.1
797.356,93654.7
798.018,93642.4
798.681,93630
799.344,93617.7
800.006,93605.3
800.669,93593
801.331,93580.7
801.994,93568.4
802.657,93556
803.319,93543.8
803.982,93531.5
804.644,93519.2
805.307,93506.9
805.969,93494.7
806.632,93482.5
807.295,93470.3
807.957,93458.2
808.62,93446
809.282,93433.9
809.945,93421.9
810.608,93409.8
811.27,93397.8
811.933,93385.9
812.595,93373.9
813.258,93362
813.92,93350.2
814.583,93338.3
815.246,93326.5
815.908,93314.8
816.571,93303
817.233,93291.3
817.896,93279.6
818.559,93267.9
819.221,93256.3
819.884,93244.6
820.546,93233
821.209,93221.3
821.872,93209.7
822.534,93198
823.197,93186.4
823.859,93174.7
824.522,93163
825.184,93151.3
825.847,93139.6
826.51,93127.9
827.172,93116.2
827.835,93104.4
828.497,93092.7
829.16,93080.9
829.823,93069.2
830.485,93057.4
831.148,93045.6
831.81,93033.9
832.473,93022.2
833.135,93010.4
833.798,92998.7
834.461,92987
835.123,92975.4
835.786,92963.8
836.448,92952.1
837.111,92940.6
837.774,92929
838.436,92917.5
839.099,92906
839.761,92894.5
840.424,92883.1
841.087,92871.7
841.749,92860.3
842.412,92848.9
843.074,92837.5
843.737,92826.1
844.399,92814.8
845.062,92803.4
845.725,92792
846.387,92780.7
847.05,92769.3
847.712,92758
848.375,92746.6
849.038,92735.3
849.7,92723.9
850.363,92712.6
851.025,92701.3
851.688,92689.9
852.35,92678.6
853.013,92667.3
853.676,92656
854.338,92644.7
855.001,92633.4
855.663,92622.2
856.326,92610.9
856.989,92599.7
857.651,92588.5
858.314,92577.3
858.976,92566.1
859.639,92554.9
860.301,92543.7
860.964,92532.5
861.627,92521.4
862.289,92510.2
862.952,92499.1
863.614,92487.9
864.277,92476.8
864.94,92465.7
865.602,92454.5
866.265,92443.4
866.927,92432.3
867.59,92421.2
868.253,92410.1
868.915,92399.1
869.578,92388
870.24,92376.9
870.903,92365.9
871.565,92354.9
872.228,92343.8
872.891,92332.8
873.553,92321.9
874.216,92310.9
874.878,92299.9
875.541,92289
876.204,92278
876.866,92267.1
877.529,92256.2
878.191,92245.3
878.854,92234.4
879.516,92223.5
880.179,92212.7
880.842,92201.8
881.504,92191
882.167,92180.1
882.829,92169.3
883.492,92158.5
884.155,92147.7
884.817,92136.9
885.48,92126.1
886.142,92115.3
886.805,92104.5
887.468,92093.7
888.13,92082.9
888.793,92072.2
889.455,92061.4
890.118,92050.6
890.78,92039.9
891.443,92029.1
892.106,92018.4
892.768,92007.7
893.431,91997
894.093,91986.3
894.756,91975.6
895.419,91965
896.081,91954.3
896.744,91943.6
897.406,91933
898.069,91922.4
898.732,91911.8
899.394,91901.2
900.057,91890.6
900.719,91880
901.382,91869.4
902.044,91858.9
902.707,91848.3
903.37,91837.7
904.032,91827.2
904.695,91816.6
905.357,91806.1
906.02,91795.6
906.683,91785
907.345,91774.5
908.008,91764
908.67,91753.5
909.333,91743
909.995,91732.6
910.658,91722.1
911.321,91711.6
911.983,91701.2
912.646,91690.8
913.308,91680.4
913.971,91670
914.634,91659.6
915.296,91649.3
915.959,91638.9
916.621,91628.6
917.284,91618.3
917.947,91608
918.609,91597.7
919.272,91587.4
919.934,91577.1
920.597,91566.8
921.259,91556.5
921.922,91546.3
922.585,91536
