x (mm),P (Pa)
880.842,2073.76
881.504,2073.76
882.167,2073.75
882.829,2073.74
883.492,2073.73
884.155,2073.72
884.817,2073.7
885.48,2073.7
886.142,2073.69
886.805,2073.67
887.468,2073.67
888.13,2073.66
888.793,2073.64
889.455,2073.63
890.118,2073.63
890.78,2073.61
891.443,2073.59
892.106,2073.58
892.768,2073.58
893.431,2073.57
894.093,2073.56
894.756,2073.55
895.419,2073.54
896.081,2073.53
896.744,2073.52
897.406,2073.51
898.069,2073.5
898.732,2073.49
899.394,2073.48
900.057,2073.48
900.719,2073.49
901.382,2073.48
902.044,2073.45
902.707,2073.43
903.37,2073.42
904.032,2073.41
904.695,2073.41
905.357,2073.39
906.02,2073.38
906.683,2073.38
907.345,2073.36
908.008,2073.35
908.67,2073.35
909.333,2073.33
909.995,2073.32
910.658,2073.32
911.321,2073.3
911.983,2073.29
912.646,2073.29
913.308,2073.27
913.971,2073.26
914.634,2073.25
915.296,2073.24
915.959,2073.24
916.621,2073.22
917.284,2073.22
917.947,2073.21
918.609,2073.2
919.272,2073.19
919.934,2073.18
920.597,2073.17
921.259,2073.16
921.922,2073.16
922.585,2073.14
923.247,2073.13
923.91,2073.14
924.572,2073.14
925.235,2073.12
925.898,2073.1
926.56,2073.09
927.223,2073.08
927.885,2073.06
928.548,2073.06
929.21,2073.05
929.873,2073.03
930.536,2073.03
931.198,2073.02
931.861,2073
932.523,2073
933.186,2072.99
933.849,2072.97
934.511,2072.97
935.174,2072.96
935.836,2072.94
936.499,2072.93
937.162,2072.92
937.824,2072.91
938.487,2072.91
939.149,2072.89
939.812,2072.89
