x (mm),Q (W/m2)
396.491,9.74E+04
397.154,9.73E+04
397.816,9.73E+04
398.479,9.73E+04
399.141,9.73E+04
399.804,9.72E+04
400.467,9.72E+04
401.129,9.72E+04
401.792,9.72E+04
402.454,9.71E+04
403.117,9.71E+04
403.78,9.71E+04
404.442,9.71E+04
405.105,9.70E+04
405.767,9.70E+04
406.43,9.70E+04
407.093,9.70E+04
407.755,9.69E+04
408.418,9.69E+04
409.08,9.69E+04
409.743,9.69E+04
410.405,9.68E+04
411.068,9.68E+04
411.731,9.68E+04
412.393,9.68E+04
413.056,9.67E+04
413.718,9.67E+04
414.381,9.67E+04
415.044,9.67E+04
415.706,9.66E+04
416.369,9.66E+04
417.031,9.66E+04
417.694,9.66E+04
418.356,9.66E+04
419.019,9.65E+04
419.682,9.65E+04
420.344,9.65E+04
421.007,9.65E+04
421.669,9.64E+04
422.332,9.64E+04
422.995,9.64E+04
423.657,9.64E+04
424.32,9.63E+04
424.982,9.63E+04
425.645,9.63E+04
426.307,9.63E+04
426.97,9.63E+04
427.633,9.62E+04
428.295,9.62E+04
428.958,9.62E+04
429.62,9.62E+04
430.283,9.61E+04
430.946,9.61E+04
431.608,9.61E+04
432.271,9.61E+04
432.933,9.60E+04
433.596,9.60E+04
434.259,9.60E+04
434.921,9.60E+04
435.584,9.60E+04
436.246,9.59E+04
436.909,9.59E+04
437.571,9.59E+04
438.234,9.59E+04
438.897,9.58E+04
439.559,9.58E+04
440.222,9.58E+04
440.884,9.58E+04
441.547,9.57E+04
442.21,9.57E+04
442.872,9.57E+04
443.535,9.57E+04
444.197,9.57E+04
444.86,9.56E+04
445.523,9.56E+04
446.185,9.56E+04
446.848,9.56E+04
447.51,9.55E+04
448.173,9.55E+04
448.835,9.55E+04
449.498,9.55E+04
450.161,9.55E+04
450.823,9.54E+04
451.486,9.54E+04
452.148,9.54E+04
452.811,9.54E+04
453.474,9.53E+04
454.136,9.53E+04
454.799,9.53E+04
455.461,9.53E+04
456.124,9.53E+04
456.786,9.52E+04
457.449,9.52E+04
458.112,9.52E+04
458.774,9.52E+04
459.437,9.52E+04
460.099,9.51E+04
460.762,9.51E+04
461.425,9.51E+04
462.087,9.51E+04
462.75,9.50E+04
463.412,9.50E+04
464.075,9.50E+04
464.738,9.50E+04
465.4,9.50E+04
466.063,9.49E+04
466.725,9.49E+04
467.388,9.49E+04
468.05,9.49E+04
468.713,9.49E+04
469.376,9.48E+04
470.038,9.48E+04
470.701,9.48E+04
471.363,9.48E+04
472.026,9.47E+04
472.689,9.47E+04
473.351,9.47E+04
474.014,9.47E+04
474.676,9.47E+04
475.339,9.46E+04
476.001,9.46E+04
476.664,9.46E+04
477.327,9.46E+04
477.989,9.46E+04
478.652,9.45E+04
479.314,9.45E+04
479.977,9.45E+04
480.64,9.45E+04
481.302,9.45E+04
481.965,9.44E+04
482.627,9.44E+04
483.29,9.44E+04
483.953,9.44E+04
484.615,9.44E+04
485.278,9.43E+04
485.94,9.43E+04
486.603,9.43E+04
487.265,9.43E+04
487.928,9.43E+04
488.591,9.42E+04
489.253,9.42E+04
489.916,9.42E+04
490.578,9.42E+04
491.241,9.42E+04
491.904,9.41E+04
492.566,9.41E+04
493.229,9.41E+04
493.891,9.41E+04
494.554,9.41E+04
495.216,9.40E+04
495.879,9.40E+04
496.542,9.40E+04
497.204,9.40E+04
497.867,9.40E+04
498.529,9.39E+04
499.192,9.39E+04
499.855,9.39E+04
500.517,9.39E+04
501.18,9.39E+04
501.842,9.38E+04
502.505,9.38E+04
503.168,9.38E+04
503.83,9.38E+04
503.83,9.38E+04
504.493,9.38E+04
505.155,9.37E+04
505.818,9.37E+04
506.48,9.37E+04
507.143,9.37E+04
507.806,9.37E+04
508.468,9.36E+04
509.131,9.36E+04
509.793,9.36E+04
510.456,9.36E+04
511.119,9.36E+04
511.781,9.35E+04
512.444,9.35E+04
513.106,9.35E+04
513.769,9.35E+04
514.431,9.35E+04
515.094,9.35E+04
515.757,9.34E+04
516.419,9.34E+04
517.082,9.34E+04
517.744,9.34E+04
518.407,9.34E+04
519.07,9.33E+04
519.732,9.33E+04
520.395,9.33E+04
521.057,9.33E+04
521.72,9.33E+04
522.382,9.32E+04
523.045,9.32E+04
523.708,9.32E+04
524.37,9.32E+04
525.033,9.32E+04
525.695,9.32E+04
526.358,9.31E+04
527.021,9.31E+04
527.683,9.31E+04
528.346,9.31E+04
529.008,9.31E+04
529.671,9.30E+04
530.334,9.30E+04
530.996,9.30E+04
531.659,9.30E+04
532.321,9.30E+04
532.984,9.30E+04
533.646,9.29E+04
534.309,9.29E+04
534.972,9.29E+04
535.634,9.29E+04
536.297,9.29E+04
536.959,9.28E+04
